"SITE"	"NAME"	"LAT"	"LON"	"SPECIES"	"ELE"	"CATEGORY"	"RWL"	"RESPONSIBLE"	"NO_TREES"	"FIRST_YEAR"	"LAST_YEAR"	"AGE"	"TREE_TYPE"	"CWB"
"C004022PISY"	"CZE_PLZ_1912"	49.6755476	13.4735253	"PISY"	"461"	"acid"	"C004022PISY.rwl"	"dusatko@fld.czu.cz"	24	1928	2019	92	"Conifer"	0.751934424266219
"C004023PCAB"	"CZE_PLZ_1912"	49.6755488	13.4734897	"PCAB"	"461"	"acid"	"C004023PCAB.rwl"	"dusatko@fld.czu.cz"	25	1930	2019	90	"Conifer"	0.751934424266219
"C004024QURO"	"CZE_VLS_1925"	49.685843	14.916135	"QUsp"	"445"	"moderate"	"C004024QURO.rwl"	"dusatko@fld.czu.cz"	22	1932	2019	88	"Broadleaf"	3.8349252670592
"C004025PISY"	"CZE_SML_2018"	49.610717	14.139588	"PISY"	"500"	"acid"	"C004025PISY.rwl"	"dusatko@fld.czu.cz"	24	1923	2019	97	"Conifer"	-3.81664247100552
"C004026QUPE"	"CZE_VRS_2110"	49.528312	13.256263	"QUsp"	"472"	"acid"	"C004026QUPE.rwl"	"dusatko@fld.czu.cz"	25	1932	2019	88	"Broadleaf"	0.0982217490673065
"C004027FASY"	"CZE_PRS_2120"	49.541745	14.362644	"FASY"	"537"	"moderate"	"C004027FASY.rwl"	"dusatko@fld.czu.cz"	21	1900	2019	120	"Broadleaf"	2.64459794574728
"C004028FASY"	"CZE_TRJ_2155"	49.497104	18.227569	"FASY"	"831"	"moderate"	"C004028FASY.rwl"	"dusatko@fld.czu.cz"	26	1937	2019	83	"Broadleaf"	39.7109696027047
"C004030PISY"	"CZE_BBR_2236"	49.4632411	16.1293094	"PISY"	"541"	"acid"	"C004030PISY.rwl"	"dusatko@fld.czu.cz"	23	1958	2019	62	"Conifer"	5.74532545953989
"C004031PCAB"	"CZE_LDM_2326"	49.397751	15.024749	"PCAB"	"669"	"acid"	"C004031PCAB.rwl"	"dusatko@fld.czu.cz"	22	1911	2019	109	"Conifer"	14.5694140699009
"C004032FASY"	"CZE_CHV_2351"	49.364495	17.779156	"FASY"	"685"	"moderate"	"C004032FASY.rwl"	"dusatko@fld.czu.cz"	24	1937	2019	83	"Broadleaf"	22.3769813020776
"C004033PISY"	"CZE_HMR_2509"	49.239459	13.158951	"PISY"	"553"	"acid"	"C004033PISY.rwl"	"dusatko@fld.czu.cz"	23	1922	2018	97	"Conifer"	30.0382566101213
"C004034PISY"	"CZE_CMC_2513"	49.244089	13.596262	"PISY"	"575"	"moderate"	"C004034PISY.rwl"	"dusatko@fld.czu.cz"	25	1891	2019	129	"Conifer"	8.23331972615017
"C004035QURO"	"CZE_ZHR_2536"	49.247496	16.124704	"QUsp"	"392"	"moderate"	"C004035QURO.rwl"	"dusatko@fld.czu.cz"	25	1952	2019	68	"Broadleaf"	-1.86333550568049
"C004036FASY"	"CZE_SLS_2647"	49.158433	17.328105	"FASY"	"367"	"moderate"	"C004036FASY.rwl"	"dusatko@fld.czu.cz"	24	1931	2019	89	"Broadleaf"	2.66288850075255
"C004037QUPE"	"CZE_NPJ_2649"	49.153006	17.547895	"QUsp"	"225"	"moderate"	"C004037QUPE.rwl"	"dusatko@fld.czu.cz"	25	1918	2019	102	"Broadleaf"	0.332627201089636
"C004038FASY"	"CZE_HLZ_2652"	49.1472554	17.8741216	"FASY"	"446"	"moderate"	"C004038FASY.rwl"	"dusatko@fld.czu.cz"	25	1909	2019	111	"Broadleaf"	15.8425368539989
"C004039PISY"	"CZE_HLZ_2652"	49.1472911	17.8741066	"PISY"	"446"	"moderate"	"C004039PISY.rwl"	"dusatko@fld.czu.cz"	25	1901	2019	119	"Conifer"	15.8425368539989
"C004040QURO"	"CZE_LHN_2737"	49.102625	16.231425	"QUsp"	"360"	"acid"	"C004040QURO.rwl"	"dusatko@fld.czu.cz"	25	1941	2019	79	"Broadleaf"	-8.88464485769471
"C004041FASY"	"CZE_BRM_2754"	49.0677294	18.0914021	"FASY"	"535"	"moist"	"C004041FASY.rwl"	"dusatko@fld.czu.cz"	20	1925	2019	95	"Broadleaf"	20.9279081414392
"C004042PCAB"	"CZE_BRM_2754"	49.0677166	18.0913998	"PCAB"	"535"	"moist"	"C004042PCAB.rwl"	"dusatko@fld.czu.cz"	25	1923	2019	97	"Conifer"	20.9279081414392
"C004043PISY"	"CZE_SDL_2826"	49.037951	15.025986	"PISY"	"536"	"acid"	"C004043PISY.rwl"	"dusatko@fld.czu.cz"	25	1911	2019	109	"Conifer"	10.7545228465647
"C004044PISY"	"CZE_LND_2828"	49.037769	15.2441454	"PISY"	"610"	"acid"	"C004044PISY.rwl"	"dusatko@fld.czu.cz"	24	1887	2019	133	"Conifer"	12.1559139503042
"C004045PCAB"	"CZE_LND_2828"	49.0377453	15.2441475	"PCAB"	"610"	"acid"	"C004045PCAB.rwl"	"dusatko@fld.czu.cz"	25	1880	2019	140	"Conifer"	12.1559139503042
"C004046QURO"	"CZE_HUB_2840"	49.02723	16.556649	"QUsp"	"220"	"moderate"	"C004046QURO.rwl"	"dusatko@fld.czu.cz"	24	1887	2019	133	"Broadleaf"	-12.0091614033189
"C004047QUPE"	"CZE_VLH_2849"	49.009752	17.540654	"QUsp"	"319"	"moderate"	"C004047QUPE.rwl"	"dusatko@fld.czu.cz"	25	1895	2019	125	"Broadleaf"	-3.20189606755972
"C004048FASY"	"CZE_PTN_2852"	49.001728	17.866548	"FASY"	"633"	"moderate"	"C004048FASY.rwl"	"dusatko@fld.czu.cz"	24	1937	2019	83	"Broadleaf"	19.6718814108459
"C004049PISY"	"CZE_PND_3032"	48.892544	15.679978	"PISY"	"415"	"moderate"	"C004049PISY.rwl"	"dusatko@fld.czu.cz"	24	1928	2019	92	"Conifer"	-3.13383739414314
"C004050QUPE"	"CZE_PVL_3041"	48.880327	16.66167	"QUsp"	"279"	"rich"	"C004050QUPE.rwl"	"dusatko@fld.czu.cz"	25	1928	2019	92	"Broadleaf"	-9.81354996442795
"C004051PCAB"	"CZE_KRM_0323"	50.8354	14.685635	"PCAB"	"614"	"moderate"	"C004051PCAB.rwl"	"dusatko@fld.czu.cz"	23	1937	2019	83	"Conifer"	21.6113435753435
"C004052PCAB"	"CZE_VSB_3419"	48.604226	14.265599	"PCAB"	"812"	"acid"	"C004052PCAB.rwl"	"dusatko@fld.czu.cz"	24	1924	2019	96	"Conifer"	20.3355411085766
"C004053PISY"	"CZE_BPB_0724"	50.548202	14.799748	"PISY"	"295"	"acid"	"C004053PISY.rwl"	"dusatko@fld.czu.cz"	30	1921	2019	99	"Conifer"	4.78920647879442
"C004055QUPE"	"CZE_CHR_0815"	50.470569	13.786884	"QUsp"	"400"	"moderate"	"C004055QUPE.rwl"	"dusatko@fld.czu.cz"	25	1880	2019	140	"Broadleaf"	-3.6072073379159
"C004056PCAB"	"CZE_LVC_0828"	50.476809	15.252761	"PCAB"	"317"	"acid"	"C004056PCAB.rwl"	"dusatko@fld.czu.cz"	25	1933	2019	87	"Conifer"	6.83449991007646
"C004057PCAB"	"CZE_MLZ_0908"	50.388278	13.003587	"PCAB"	"1026"	"moist"	"C004057PCAB.rwl"	"dusatko@fld.czu.cz"	26	1930	2019	90	"Conifer"	32.2533607415358
"C004058PCAB"	"CZE_KRP_B080"	50.696858	13.842396	"PCAB"	"551"	"moderate"	"C004058PCAB.rwl"	"dusatko@fld.czu.cz"	23	1924	2019	96	"Conifer"	12.1988917313392
"C004059FASY"	"CZE_DLM_B151"	50.734725	15.539576	"FASY"	"923"	"rich"	"C004059FASY.rwl"	"dusatko@fld.czu.cz"	21	1760	2019	260	"Broadleaf"	62.053697125117
"C004060PISY"	"CZE_HRP_D100"	50.419047	14.368315	"PISY"	"214"	"acid"	"C004060PISY.rwl"	"dusatko@fld.czu.cz"	29	1899	2019	121	"Conifer"	-7.11691141150892
"C004061PISY"	"CZE_MNT_G050"	49.977058	13.216177	"PISY"	"473"	"acid"	"C004061PISY.rwl"	"dusatko@fld.czu.cz"	26	1918	2019	102	"Conifer"	-6.22058893005053
"C004062PCAB"	"CZE_OBO_H020"	49.815898	12.524288	"PCAB"	"675"	"moderate"	"C004062PCAB.rwl"	"dusatko@fld.czu.cz"	26	1922	2019	98	"Conifer"	10.6710859358559
"C004063PISY"	"CZE_KST_J130"	49.5679467	15.0892373	"PISY"	"512"	"acid"	"C004063PISY.rwl"	"dusatko@fld.czu.cz"	25	1939	2019	81	"Conifer"	5.45679791286588
"C004064PCAB"	"CZE_KST_J130"	49.5679871	15.0891925	"PCAB"	"512"	"acid"	"C004064PCAB.rwl"	"dusatko@fld.czu.cz"	25	1932	2019	88	"Conifer"	5.45679791286588
"C004065FASY"	"CZE_HLN_L271"	49.289497	18.183693	"FASY"	"810"	"rich"	"C004065FASY.rwl"	"dusatko@fld.czu.cz"	24	1923	2019	97	"Broadleaf"	33.2341440543532
"C004066PCAB"	"CZE_BRN_M070"	49.104077	13.717624	"PCAB"	"790"	"moist"	"C004066PCAB.rwl"	"dusatko@fld.czu.cz"	24	1910	2019	110	"Conifer"	19.7808614288146
"C004067PCAB"	"CZE_MLN_P110"	48.672958	14.599033	"PCAB"	"760"	"acid"	"C004067PCAB.rwl"	"dusatko@fld.czu.cz"	24	1871	2019	149	"Conifer"	20.3671272822966
"C004068PISY"	"CZE_HLB_Q061"	49.741841	12.861345	"PISY"	"533"	"acid"	"C004068PISY.rwl"	"dusatko@fld.czu.cz"	26	1892	2019	128	"Conifer"	-0.339887586875508
"C004069FASY"	"CZE_VST_Q103"	49.229959	14.299931	"FASY"	"602"	"moderate"	"C004069FASY.rwl"	"dusatko@fld.czu.cz"	25	1903	2019	117	"Broadleaf"	2.93382155729768
"C004070PISY"	"CZE_PRV_Q181"	50.639434	14.615539	"PISY"	"267"	"acid"	"C004070PISY.rwl"	"dusatko@fld.czu.cz"	30	1939	2019	81	"Conifer"	4.16397016203031
"C004071PCAB"	"CZE_JZR_Q211"	50.836817	15.336216	"PCAB"	"907"	"acid"	"C004071PCAB.rwl"	"dusatko@fld.czu.cz"	23	1955	2019	65	"Conifer"	67.3556687024732
"C004072PCAB"	"CZE_LSU_Q251"	50.292542	16.390279	"PCAB"	"933"	"acid"	"C004072PCAB.rwl"	"dusatko@fld.czu.cz"	26	1919	2019	101	"Conifer"	61.9711485262712
"C004073PCAB"	"CZE_STH_Q401"	49.453809	18.399001	"PCAB"	"648"	"moist"	"C004073PCAB.rwl"	"dusatko@fld.czu.cz"	25	1931	2019	89	"Conifer"	49.3691179668407
"C004074PCAB"	"CZE_LZK_Q521"	50.042338	12.62508	"PCAB"	"878"	"acid"	"C004074PCAB.rwl"	"dusatko@fld.czu.cz"	22	1891	2019	129	"Conifer"	24.7940372100472
"C004075PCAB"	"CZE_NVB_Q561"	49.263841	15.700752	"PCAB"	"643"	"moderate"	"C004075PCAB.rwl"	"dusatko@fld.czu.cz"	24	1939	2019	81	"Conifer"	7.1287081216524
"C004076QURO"	"CZE_VSH_3_16"	50.325809	15.461109	"QUsp"	"259"	"moist"	"C004076QURO.rwl"	"dusatko@fld.czu.cz"	25	1871	2019	149	"Broadleaf"	-0.616665881077449
"C004077QUPE"	"CZE_DTC_CHL1"	50.198519	13.308697	"QUsp"	"530"	"extreme"	"C004077QUPE.rwl"	"dusatko@fld.czu.cz"	26	1846	2019	174	"Broadleaf"	-3.33555550699433
"C004078QUSP"	"CZE_KRA_011"	49.9161278	14.115725	"QUsp"	"416"	"extreme"	"C004078QUSP.rwl"	"dusatko@fld.czu.cz"	20	1819	2019	201	"Broadleaf"	-4.56162430182099
"C004079QUSP"	"CZE_KRA_012"	49.9177306	14.1160897	"QUsp"	"433"	"moderate"	"C004079QUSP.rwl"	"dusatko@fld.czu.cz"	20	1868	2019	152	"Broadleaf"	-4.56162430182099
"C004080QUSP"	"CZE_KRA_021"	49.8914169	14.1246942	"QUsp"	"442"	"moderate"	"C004080QUSP.rwl"	"dusatko@fld.czu.cz"	37	1832	2019	188	"Broadleaf"	-3.74913326557726
"C004081QUSP"	"CZE_KRA_022"	49.8995861	14.1197589	"QUsp"	"418"	"rich"	"C004081QUSP.rwl"	"dusatko@fld.czu.cz"	32	1830	2019	190	"Broadleaf"	-4.10984993942703
"C004082QUSP"	"CZE_KRA_031"	49.9509333	14.1425792	"QUsp"	"355"	"moderate"	"C004082QUSP.rwl"	"dusatko@fld.czu.cz"	32	1848	2019	172	"Broadleaf"	-5.34266428711514
"C004083FASY"	"CZE_KRA_032"	49.9625575	14.15481	"FASY"	"403"	"moderate"	"C004083FASY.rwl"	"dusatko@fld.czu.cz"	33	1887	2019	133	"Broadleaf"	-4.72704653580983
"C004090FASY"	"CZE_JIZ_6001"	50.85852	15.14003	"FASY"	"717"	"extreme"	"C004090FASY.rwl"	"dusatko@fld.czu.cz"	30	1800	2019	220	"Broadleaf"	44.783042285641
"C004091FASY"	"CZE_JIZ_6002"	50.85923	15.14437	"FASY"	"710"	"acid"	"C004091FASY.rwl"	"dusatko@fld.czu.cz"	26	1805	2019	215	"Broadleaf"	44.783042285641
"C004092FASY"	"CZE_JIZ_6003"	50.86407	15.15859	"FASY"	"594"	"extreme"	"C004092FASY.rwl"	"dusatko@fld.czu.cz"	23	1768	2019	252	"Broadleaf"	40.9336728478471
"C004093FASY"	"CZE_JIZ_6004"	50.86094	15.15987	"FASY"	"707"	"extreme"	"C004093FASY.rwl"	"dusatko@fld.czu.cz"	18	1813	2019	207	"Broadleaf"	40.9336728478471
"C004094FASY"	"CZE_JIZ_6005"	50.85765	15.16956	"FASY"	"575"	"extreme"	"C004094FASY.rwl"	"dusatko@fld.czu.cz"	22	1905	2019	115	"Broadleaf"	47.0990401414068
"C004095FASY"	"CZE_JIZ_6006"	50.85781	15.17769	"FASY"	"645"	"extreme"	"C004095FASY.rwl"	"dusatko@fld.czu.cz"	27	1778	2019	242	"Broadleaf"	48.2372312356035
"C004096FASY"	"CZE_JIZ_6007"	50.86307	15.18586	"FASY"	"644"	"extreme"	"C004096FASY.rwl"	"dusatko@fld.czu.cz"	29	1793	2019	227	"Broadleaf"	42.5797907117009
"C004097FASY"	"CZE_JIZ_6008"	50.85953	15.19203	"FASY"	"777"	"extreme"	"C004097FASY.rwl"	"dusatko@fld.czu.cz"	21	1859	2019	161	"Broadleaf"	49.5080660095811
"C004098FASY"	"CZE_JIZ_6009"	50.86203	15.20385	"FASY"	"575"	"extreme"	"C004098FASY.rwl"	"dusatko@fld.czu.cz"	25	1876	2019	144	"Broadleaf"	46.0151831631362
"C004099FASY"	"CZE_JIZ_6010"	50.85853	15.20703	"FASY"	"680"	"acid"	"C004099FASY.rwl"	"dusatko@fld.czu.cz"	37	1880	2019	140	"Broadleaf"	51.0775746346451
"C004100FASY"	"CZE_JIZ_6011"	50.8682	15.095	"FASY"	"598"	"extreme"	"C004100FASY.rwl"	"dusatko@fld.czu.cz"	20	1834	2019	186	"Broadleaf"	36.2065405893574
"C004101FASY"	"CZE_JIZ_6012"	50.86583	15.09313	"FASY"	"580"	"extreme"	"C004101FASY.rwl"	"dusatko@fld.czu.cz"	27	1787	2019	233	"Broadleaf"	36.2065405893574
"C004102FASY"	"CZE_JIZ_6013"	50.87198	15.24922	"FASY"	"656"	"extreme"	"C004102FASY.rwl"	"dusatko@fld.czu.cz"	22	1749	2019	271	"Broadleaf"	51.4043896621962
"C004103FASY"	"CZE_JIZ_6014"	50.8707	15.25344	"FASY"	"760"	"extreme"	"C004103FASY.rwl"	"dusatko@fld.czu.cz"	15	1718	2019	302	"Broadleaf"	51.4043896621962
"C004104FASY"	"CZE_JIZ_6015"	50.8570313	15.128809	"FASY"	"685"	"extreme"	"C004104FASY.rwl"	"dusatko@fld.czu.cz"	23	1776	2019	244	"Broadleaf"	42.9420169318716
"C004108FASY"	"CZE_JIZ_C"	50.85814	15.12727	"FASY"	"611"	"extreme"	"C004108FASY.rwl"	"dusatko@fld.czu.cz"	10	1789	2014	226	"Broadleaf"	42.9420169318716
"C004111FASY"	"CZE_JIZ_F"	50.86208	15.14463	"FASY"	"582"	"extreme"	"C004111FASY.rwl"	"dusatko@fld.czu.cz"	18	1726	2014	289	"Broadleaf"	40.0562550996616
"C004113FASY"	"CZE_JIZ_H"	50.88029	15.25085	"FASY"	"832"	"extreme"	"C004113FASY.rwl"	"dusatko@fld.czu.cz"	11	1842	2014	173	"Broadleaf"	50.0543322200576
"C004210PCAB"	"SG008"	48.68926	14.04403	"PCAB"	"728"	"moist"	"C004210PCAB.rwl"	"cada@fld.czu.cz"	12	1846	2017	172	"Conifer"	21.57566981107
"C004211PISY"	"SG009"	48.8442669	13.92912	"PISY"	"729"	"moist"	"C004211PISY.rwl"	"cada@fld.czu.cz"	10	1899	2017	119	"Conifer"	27.6895400508369
"C004215PCAB"	"SG011"	48.80932	13.94345	"PCAB"	"729"	"moist"	"C004215PCAB.rwl"	"cada@fld.czu.cz"	11	1873	2017	145	"Conifer"	27.7672087684148
"C004217PCAB"	"SG015"	48.82404	13.93603	"PCAB"	"731"	"moist"	"C004217PCAB.rwl"	"cada@fld.czu.cz"	11	1865	2017	153	"Conifer"	27.5459003527028
"C004218PISY"	"SG019"	48.85813	13.89134	"PISY"	"732"	"moist"	"C004218PISY.rwl"	"cada@fld.czu.cz"	11	1908	2017	110	"Conifer"	29.4907819726442
"C004219PCAB"	"SG024"	48.92169	13.81808	"PCAB"	"752"	"moist"	"C004219PCAB.rwl"	"cada@fld.czu.cz"	12	1952	2017	66	"Conifer"	30.130172474732
"C004220PCAB"	"SG037"	48.63595	14.05955	"PCAB"	"846"	"extreme"	"C004220PCAB.rwl"	"cada@fld.czu.cz"	10	1852	2017	166	"Conifer"	24.0403857613355
"C004221PCAB"	"SG052"	48.89793	13.78537	"PCAB"	"886"	"rich"	"C004221PCAB.rwl"	"cada@fld.czu.cz"	11	1898	2017	120	"Conifer"	33.7171994206309
"C004223PCAB"	"SG063"	48.81438	13.81099	"PCAB"	"948"	"acid"	"C004223PCAB.rwl"	"cada@fld.czu.cz"	11	1853	2017	165	"Conifer"	36.2433423872665
"C004224PCAB"	"SG065"	48.81715	13.81345	"PCAB"	"952"	"acid"	"C004224PCAB.rwl"	"cada@fld.czu.cz"	10	1937	2017	81	"Conifer"	36.2433423872665
"C004225PCAB"	"SG072"	48.87438	13.77083	"PCAB"	"985"	"rich"	"C004225PCAB.rwl"	"cada@fld.czu.cz"	12	1743	2018	276	"Conifer"	36.4770507537822
"C004228PCAB"	"SG126"	48.62381	14.04837	"PCAB"	"680"	"moderate"	"C004228PCAB.rwl"	"cada@fld.czu.cz"	11	1830	2017	188	"Conifer"	23.099917661647
"C004236PCAB"	"CZE_SJ_009"	49.1608611	13.1938333	"PCAB"	"1142"	"extreme"	"C004236PCAB.rwl"	"cada@fld.czu.cz"	29	1922	2013	92	"Conifer"	63.1891688105216
"C004237PCAB"	"CZE_SJ_008"	49.1673611	13.1888056	"PCAB"	"1255"	"acid"	"C004237PCAB.rwl"	"cada@fld.czu.cz"	36	1696	2013	318	"Conifer"	63.6889239335557
"C004238PCAB"	"CZE_SB_003"	48.9922778	13.82125	"PCAB"	"1262"	"extreme"	"C004238PCAB.rwl"	"cada@fld.czu.cz"	38	1455	2013	559	"Conifer"	30.5997393872589
"C004240PCAB"	"CZE_SA_003"	48.9775	13.5636944	"PCAB"	"1161"	"moist"	"C004240PCAB.rwl"	"cada@fld.czu.cz"	43	1506	2012	507	"Conifer"	51.1747136627634
"C004268PCAB"	"CZE_SA_001"	48.9768056	13.55925	"PCAB"	"1203"	"acid"	"C004268PCAB.rwl"	"cada@fld.czu.cz"	43	1863	2010	148	"Conifer"	52.9321081387997
"M000001PCAB"	"heral1_2011"	49.67865	15.9564	"PCAB"	"685"	"moist"	"heral1_2011.rwl"	"NULL"	20	1911	2010	100	"Conifer"	18.5046818876266
"M000002PCAB"	"heral2_2011"	49.6751	15.9588333	"PCAB"	"692"	"moist"	"heral2_2011.rwl"	"NULL"	19	1911	2010	100	"Conifer"	18.5046818876266
"M000003PCAB"	"heral3_2011"	49.6699667	15.9647667	"PCAB"	"692"	"moist"	"heral3_2011.rwl"	"NULL"	20	1881	2010	130	"Conifer"	17.7391498014331
"M000004PCAB"	"heral4_2011"	49.6745167	15.97515	"PCAB"	"706"	"acid"	"heral4_2011.rwl"	"NULL"	11	1943	2010	68	"Conifer"	17.7614231374115
"M000006PCAB"	"heral6_2011"	49.6661333	16.02635	"PCAB"	"779"	"acid"	"heral6_2011.rwl"	"NULL"	17	1897	2010	114	"Conifer"	19.2830270430197
"M000007PCAB"	"heral7_2011"	49.6601667	16.03465	"PCAB"	"760"	"moist"	"heral7_2011.rwl"	"NULL"	19	1906	2010	105	"Conifer"	19.5756523781021
"M000008PCAB"	"heral8_2011"	49.6731167	16.0178	"PCAB"	"768"	"acid"	"heral8_2011.rwl"	"NULL"	17	1902	2010	109	"Conifer"	19.2830270430197
"M000009PCAB"	"heral9_2011"	49.68155	16.0199333	"PCAB"	"703"	"acid"	"heral9_2011.rwl"	"NULL"	12	1935	2010	76	"Conifer"	19.0985118792454
"M000042PCAB"	"jes1_2013"	50.0593333	17.1203333	"PCAB"	"841"	"moderate"	"jes1_2013.rwl"	"NULL"	31	1920	2012	93	"Conifer"	30.2549091585726
"M000043PCAB"	"jes2_2013"	50.0737778	17.1262222	"PCAB"	"840"	"moderate"	"jes2_2013.rwl"	"NULL"	28	1910	2012	103	"Conifer"	31.9449932765464
"M000044PCAB"	"jes3_2013"	50.0705	17.1242222	"PCAB"	"980"	"moderate"	"jes3_2013.rwl"	"NULL"	29	1912	2012	101	"Conifer"	31.9449932765464
"M000045PCAB"	"jes4_2013"	50.1230556	17.1377222	"PCAB"	"940"	"acid"	"jes4_2013.rwl"	"NULL"	34	1901	2012	112	"Conifer"	42.0062132129073
"M000046PCAB"	"libav1_2016"	49.6688167	17.5243	"PCAB"	"520"	"moderate"	"libav1_2016.rwl"	"NULL"	16	1933	2014	82	"Conifer"	13.0261954085281
"M000047PCAB"	"libav2_2016"	49.6207247	17.5187999	"PCAB"	"649"	"moderate"	"libav2_2016.rwl"	"NULL"	18	1915	2014	100	"Conifer"	13.8385336092114
"M000048PCAB"	"libav3_2016"	49.6616667	17.5251333	"PCAB"	"604"	"moderate"	"libav3_2016.rwl"	"NULL"	14	1940	2014	75	"Conifer"	13.1634827167789
"M000049PCAB"	"libav4_2016"	49.64445	17.4955667	"PCAB"	"629"	"moderate"	"libav4_2016.rwl"	"NULL"	17	1934	2014	81	"Conifer"	13.2901413920522
"M000050PCAB"	"libav5_2016"	49.6622167	17.5282333	"PCAB"	"580"	"moderate"	"libav5_2016.rwl"	"NULL"	15	1931	2014	84	"Conifer"	13.1634827167789
"M000051PCAB"	"libav6_2016"	49.6201833	17.5235667	"PCAB"	"630"	"moderate"	"libav6_2016.rwl"	"NULL"	13	1940	2014	75	"Conifer"	13.8807543679575
"M000052QUPE"	"sobes_2018"	49.2499453	16.6099342	"QUsp"	"360"	"moderate"	"sobes_2018.rwl"	"NULL"	60	1889	2017	129	"Broadleaf"	-4.37427335890631
"M000053PCAB"	"koset_2018"	49.5656036	15.0910622	"PCAB"	"520"	"acid"	"koset_2018.rwl"	"NULL"	60	1931	2017	87	"Conifer"	6.19259660938134
